OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length
31614,11401,PC,Hob Pt Wharf To Northwest Via Whenuapai,114,Bus,16337.4452681422
31615,11402,PC,Northwest To Hob Pt Wharf Via Whenuapai,114,Bus,16454.2718727647
31616,11601,PC,West Hills Loop,116,Bus,5493.71151893952
31617,12003,RTH,Henderson To Constellation Station Via Westgate,120,Bus,25757.3626517832
31618,12004,RTH,Constellation Station To Henderson Via Westgate,120,Bus,26126.8899818144
31619,12009,RTH,Westgate To Constellation Station,120,Bus,16937.0465533368
31620,12010,RTH,Constellation To Westgate,120,Bus,17249.3819691221
31621,12011,RTH,Henderson To Westgate,120,Bus,8820.31609844633
31622,12012,RTH,Akoranga To Westgate,120,Bus,23454.6512342511
31623,12013,RTH,Henderson To Akoranga,120,Bus,32292.6419456615
31624,12014,RTH,Akoranga To Henderson,120,Bus,32332.1592469434
31625,12015,RTH,Westgate To Akoranga,120,Bus,23472.3258472151
31626,12201,NZB,Huapai North To Westgate Via Kumeu,122,Bus,11787.848889617
31627,12202,NZB,Westgate To Huapai North Via Kumeu,122,Bus,12169.2716817735
31628,12301,NZB,Huapai Triangle To Westgate Via Kumeu,123,Bus,16362.2764899721
31629,12302,NZB,Westgate to Huapai Triangle via Kumeu,123,Bus,13044.9619755553
31630,12501,NZB,Helensville To Westgate Via Kumeu,125,Bus,38410.5738529539
31631,12502,NZB,Westgate To Helensville Via Kumeu,125,Bus,38237.1966206083
31632,12601,PC,Albany To Westgate Via Riverhead,126,Bus,27037.1265131368
31633,12602,PC,Westgate To Albany Via Riverhead,126,Bus,27250.4999432329
31634,12603,PC,Riverhead To Westgate,126,Bus,9322.81331380695
31635,12801,NZB,Hibiscus Coast Station To Helensville,128,Bus,30045.6167774733
31636,12802,NZB,Helensville To Hibiscus Coast Station,128,Bus,29969.3791761118
31637,13201,PC,Te Atatu Peninsula Loop To City Centre,132,Bus,19575.7339828591
31638,13206,PC,City Centre To Te Atatu Peninsula Loop,132,Bus,18820.9505793116
31639,13501,PC,Te Atatu (Totara Rd) To Henderson,135,Bus,8637.72197923111
31640,13502,PC,Henderson To Te Atatu (Totara Rd),135,Bus,9414.93633645299
31641,14301,PC,Ranui to Henderson via Sturges Rd,143,Bus,6936.75242283469
31642,14302,PC,Henderson to Ranui via Sturges Rd,143,Bus,7699.26244633576
31643,14501,PC,Lincoln Rd To Henderson Via Western H,145,Bus,12938.5658934823
31644,14502,PC,Henderson To Lincoln Rd Via Western H,145,Bus,12971.7286445213
31645,14701,PC,Waitakere Township To Henderson,147,Bus,13823.40096753
31646,14702,PC,Henderson To Waitakere Township,147,Bus,13227.1727395802
31647,14801,PC,Ranui To Lincoln Rd,148,Bus,4226.0027823825
31648,14802,PC,Lincoln Rd To Ranui,148,Bus,5296.89194942625
31649,14901,PC,Ranui To New Lynn Via Rosebank,149,Bus,15573.5291316533
31650,14902,PC,New Lynn To Ranui Via Rosebank,149,Bus,15801.4496540083
31651,15201,PC,Henderson to New Lynn via Sunnyvale and Glen Eden,152,Bus,13868.2719500174
31652,15202,PC,New Lynn to Henderson via Glen Eden and Sunnyvale,152,Bus,13984.3483488333
31653,15405,PC,Henderson to New Lynn via Glen Eden,154,Bus,13948.5271157089
31654,15406,PC,New Lynn to Henderson via Glen Eden,154,Bus,14057.2814075739
31655,16101,RTH,Brains Park to New Lynn,161,Bus,5150.02950829287
31656,16102,RTH,New Lynn to Brains Park,161,Bus,4148.82984941082
31657,16201,NZB,Henderson to New Lynn via Glendene,162,Bus,10026.5039493373
31658,16202,NZB,New Lynn to Henderson via Glendene,162,Bus,9989.89086789312
31659,17027,RTH,Titirangi South to New Lynn,170,Bus,7828.63086667369
31660,17028,RTH,New Lynn to Titirangi South,170,Bus,7848.59853152634
31661,17030,RTH,New Lynn to Titirangi South via Otitori Bay Rd,170,Bus,9356.75167651638
31662,17105,RTH,Laingholm To New Lynn,171,Bus,16026.9278458124
31663,17116,RTH,New Lynn To Laingholm Loop,171,Bus,20455.282773268
31664,17205,RTH,Glen Eden to New Lynn via Titirangi,172,Bus,8762.99855761239
31665,17208,RTH,New Lynn to Glen Eden via Titirangi,172,Bus,9061.8217589964
31666,18603,RTH,South Lynn Loop,186,Bus,5995.06712625258
31667,19101,RTH,Lynfield To New Lynn Via Blockhouse Bay And Avondale,191,Bus,16974.7636982477
31668,19102,RTH,New Lynn To Lynfield Via Avondale And Blockhouse Bay,191,Bus,16842.4667557302
31669,19507,RTH,New Lynn To City Centre Via Green Bay,195,Bus,20882.6957860472
31670,19508,RTH,City Centre To New Lynn Via Green Bay,195,Bus,21227.4159488877
31671,19509,RTH,New Lynn To Blockhouse Bay Via Green Bay,195,Bus,7494.85534811705
31672,20007,TZG,Hibiscus Coast Station To Auckland Universities,NX2,Bus,31853.8190851303
31673,20008,TZG,Auckland Universities To Albany Station Via Wellesley St,NX2,Bus,18575.2940643819
31674,20016,TZG,Auckland Universities To Hibiscus Coast Stn,NX2,Bus,31998.2557139031
31675,20023,TZG,Albany Station To Auckland Universities Via Wellesley St,NX2,Bus,18962.4757336949
31676,20903,RTH,Titirangi to City Centre via Green Bay and New North Rd,209,Bus,17202.9879370993
31677,20904,RTH,City Centre to Titirangi via New North Rd and Green Bay,209,Bus,17561.8092333548
31678,22212,ATMB,Britomart To Papakura Southern Rail Bus,RBS,Bus,37500.4963523145
31679,22213,ATMB,Papakura To Britomart Southern Rail Bus,RBS,Bus,37784.7545448669
31680,22216,ATMB,Otahuhu To Papakura Southern Rail Bus,RBS,Bus,21587.7635348754
31681,22217,ATMB,Papakura To Otahuhu Southern Rail Bus,RBS,Bus,21901.2974752979
31682,22226,ATMB,Britomart To Newmarket Southern Rail Bus,RBS,Bus,3799.08562978898
31683,22227,ATMB,Newmarket To Britomart Southern Rail Bus,RBS,Bus,3693.09291795165
31684,22232,ATMB,Britomart To Otahuhu Southern Rail Bus,RBS,Bus,15604.293696962
31685,22235,ATMB,Otahuhu To Britomart Southern Rail Bus,RBS,Bus,15514.0296642499
31686,22245,ATMB,Puhinui To Britomart Via Newmarket South Express Rail Bus,RBSX,Bus,27295.6218997654
31687,22248,ATMB,Britomart To Puhinui Via Newmarket South Express Rail Bus,RBSX,Bus,24269.0303023715
31688,25201,NZB,Lynfield To Civic Centre Via Dominion Rd,252,Bus,13614.4972325848
31689,25202,NZB,Civic Centre To Lynfield Via Dominion Rd,252,Bus,13458.2323976846
31690,25301,NZB,Blockhouse Bay To Civic Centre Via Dominion Rd,253,Bus,11873.5263805357
31691,25302,NZB,Civic Centre To Blockhouse Bay Via Dominion Rd,253,Bus,11849.9787311221
31692,27001,RTH,Albany Station To Britomart (Lower Albert St),NX1,Bus,17822.2781198824
31693,27002,RTH,Britomart (Lower Albert St) To Albany Station,NX1,Bus,18278.3644243076
31694,27003,RTH,Hibiscus Coast Station To Britomart (Lower Albert St),NX1,Bus,30767.1454017276
31695,27004,RTH,Britomart (Lower Albert St) To Hibiscus Coast Station,NX1,Bus,31701.3260738287
31696,27007,RTH,Hibiscus Coast Station To Britomart (Lower Albert) AM Peak,NX1,Bus,30767.1454017276
31697,27012,RTH,Smales Farm To Hibiscus Coast Station,NX1,Bus,21920.8077665906
31698,29501,NZB,Ellerslie Station To City Centre Via Royal Oak,295,Bus,15662.4477702834
